,prisma-findMany,prisma-findMany-filter-paginate-order,prisma-findMany-1-level-nesting,prisma-findFirst,prisma-findFirst-1-level-nesting,prisma-findUnique,prisma-findUnique-1-level-nesting,prisma-create,prisma-nested-create,prisma-update,prisma-nested-update,prisma-upsert,prisma-nested-upsert,prisma-delete
prismaResults,12.059174001216888,3.266846001148224,18.398038029670715,1.3267369866371155,2.6905540227890015,2.859854996204376,1.78787499666214,4.215099036693573,10.296332001686096,2.206120014190674,5.745373964309692,3.4064899682998657,4.860453009605408,3.3010259866714478
drizzleResults,33.29145300388336,4.600664019584656,39.86026096343994,1.4805279970169067,3.2197110056877136,3.336311995983124,2.6811960339546204,4.451129972934723,13.150867998600006,2.228207051753998,6.093079030513763,1.8884440064430237,5.36812698841095,4.723623991012573
typeormResults,8.27762496471405,3.0424540042877197,25.170747995376587,1.4074749946594238,4.598794996738434,1.3123260140419006,4.301131010055542,11.606979966163635,8.819660007953644,2.853438973426819,5.452546000480652,8.368279993534088,9.87892597913742,3.6337479948997498
