,prisma-findMany,prisma-findMany-filter-paginate-order,prisma-findMany-1-level-nesting,prisma-findFirst,prisma-findFirst-1-level-nesting,prisma-findUnique,prisma-findUnique-1-level-nesting,prisma-create,prisma-nested-create,prisma-update,prisma-nested-update,prisma-upsert,prisma-nested-upsert,prisma-delete
prisma,12.032401025295258,2.815430998802185,19.586212992668152,2.1208019852638245,1.8987929821014404,1.7093859910964966,2.24932998418808,3.0235350131988525,10.51002299785614,2.8723490238189697,5.6273199915885925,4.492565035820007,4.304114997386932,4.2562649846076965
drizzle,33.85199600458145,5.390188992023468,42.174274027347565,2.014118015766144,3.5398330092430115,3.527401030063629,3.406018018722534,5.551185965538025,11.206212997436523,4.7134810090065,6.482699990272522,1.4795479774475098,6.358636975288391,5.997906029224396
typeorm,8.418274998664856,6.055277049541473,27.948342978954315,0.9545509815216064,5.37770801782608,1.6383779644966125,5.108465015888214,13.246352970600128,8.18455594778061,4.110339045524597,5.521395027637482,6.066675007343292,9.249706983566284,4.710804998874664
