,prisma-findMany,prisma-findMany-filter-paginate-order,prisma-findMany-1-level-nesting,prisma-findFirst,prisma-findFirst-1-level-nesting,prisma-findUnique,prisma-findUnique-1-level-nesting,prisma-create,prisma-nested-create,prisma-update,prisma-nested-update,prisma-upsert,prisma-nested-upsert,prisma-delete
prisma,12.095399022102356,2.901853024959564,23.742591977119446,1.2718449831008911,1.8748340010643005,1.798187017440796,1.9316120147705078,2.7219420075416565,12.84017300605774,2.1895729899406433,7.797981023788452,4.444582998752594,5.235136985778809,3.8562899827957153
drizzle,37.14443701505661,3.647691011428833,51.79230898618698,2.0449119806289673,2.6028429865837097,3.103302001953125,2.8262940049171448,3.826333999633789,11.533075988292694,2.450514018535614,7.724112033843994,1.7631109952926636,6.513006031513214,7.20386004447937
typeorm,8.451746046543121,3.229575991630554,27.22173398733139,0.967070996761322,4.229224979877472,1.8708530068397522,5.640422999858856,12.872144043445587,7.377849996089935,3.2876980304718018,5.073835015296936,7.512468993663788,8.84978699684143,5.706511974334717
